Date,HSN,Particulars,Quantity,Unit,Rate,Value
14 Apr 2026,071331,L MOONG DAL,0.646,KG,114.00,73.64
14 Apr 2026,071331,L C MOONG DAL,0.920,KG,116.50,107.18
14 Apr 2026,071340,L MASOOR DAL,0.500,KG,83.00,42.00
14 Apr 2026,100199,L LOKVAN WHEAT,5.150,KG,38.50,198.28
14 Apr 2026,100630,L TUKDA BASMATI RIC,2.126,KG,61.00,129.69
14 Apr 2026,190410,L JD POHA,0.768,KG,59.00,45.31
14 Apr 2026,040299,SMOOTH CHOCOL-150ml,1,PCS,16.00,16.00
14 Apr 2026,040510,AMUL BUTTER-100g,1,PCS,58.00,58.00
14 Apr 2026,071310,PREMIA VATANA -500g,1,PCS,43.50,43.50
14 Apr 2026,071331,SATYAM CHOHLE-500g,1,PCS,126.00,126.00
14 Apr 2026,081340,PREMIA MAKHANA-100g,1,PCS,150.50,150.50
14 Apr 2026,090230,SOCIETY TEA PO-250g,1,PCS,143.00,143.00
14 Apr 2026,091091,EVEREST SHAHI B-50g,1,PCS,83.00,83.00
14 Apr 2026,091091,SUHANA KITCHENK-50g,1,PCS,30.00,30.00
14 Apr 2026,091091,MAGGI MASALA MAGIC,1,PCS,53.00,53.00
14 Apr 2026,100630,DAAWAT PULAV B-500g,1,PCS,55.00,55.00
14 Apr 2026,110100,PREMIA RAVA-1kg,1,PCS,45.50,45.50
14 Apr 2026,120242,L GROUNDNUT,0.872,KG,146.50,127.75
14 Apr 2026,151790,SAFFOLA ACTIVE-846g,2,PCS,164.00,328.00
14 Apr 2026,170114,L SUGAR,1.860,KG,44.50,82.77
14 Apr 2026,190230,MAGGI MASALA NO-70g,1,PCS,13.00,13.00
14 Apr 2026,190230,MAGGI MASALA N-140g,1,PCS,27.00,27.00
14 Apr 2026,190531,BRITANNIA BOURB-50g,1,PCS,9.00,9.00
14 Apr 2026,190531,BRITANNIA JIMJ-138g,1,PCS,27.00,27.00
14 Apr 2026,190531,SUNFEAST DARK F 75g,1,PCS,15.00,15.00
14 Apr 2026,190531,CADBURY OREO-36.75g,1,PCS,9.00,9.00
14 Apr 2026,190532,NESTLE MUNCH-139.2g,1,PCS,90.00,90.00
14 Apr 2026,190540,CHAKOTE PREMIU-500g,1,PCS,60.00,60.00
14 Apr 2026,190590,MONGINIS VEG C-100g,1,PCS,28.00,28.00
14 Apr 2026,190590,PARLE HIDE N S-100g,1,PCS,21.00,21.00
14 Apr 2026,210690,MTR BADAM DRINK -8g,2,PCS,4.00,8.00
14 Apr 2026,210690,ET-MI FALOODA -200g,1,PCS,34.50,34.50
14 Apr 2026,220110,DUKES CLUB SO-750ml,1,PCS,15.00,15.00
14 Apr 2026,220299,BRITANIA WIN -160ml,1,PCS,20.00,20.00
14 Apr 2026,220299,BRITANIA W CO-160ml,1,PCS,20.00,20.00
14 Apr 2026,300490,ENO FRUIT SALT -30g,1,PCS,48.00,48.00
14 Apr 2026,330610,SENSODYN REPAIR-70g,1,PCS,178.00,178.00
14 Apr 2026,340111,MYSORE SANDAL -150g,2,PCS,67.00,134.00
14 Apr 2026,340130,DETTOL ORG HANDWASH,1,PCS,130.20,130.20
14 Apr 2026,340250,RIN REFRESH DET-1kg,1,PCS,97.00,97.00
14 Apr 2026,340540,PITAMBARI SHIN-200g,1,PCS,34.00,34.00
19 Mar 2026,100630,STAR BASMATI RICE 5KG,1.000,PCS,450.00,450.00
19 Mar 2026,040120,AMUL GOLD MILK 1L,3.000,PCS,70.00,210.00
19 Mar 2026,040310,AMUL MASTI DAHI 400G,2.000,PCS,35.00,70.00
19 Mar 2026,070490,CABBAGE (KOBIS),1.200,KG,20.00,24.00
19 Mar 2026,070410,CAULIFLOWER (FLOWER),0.800,KG,40.00,32.00
19 Mar 2026,091091,EVEREST GARAM MASALA 50G,1.000,PCS,42.00,42.00
19 Mar 2026,091091,EVEREST TURMERIC PWD 200G,1.000,PCS,60.00,60.00
19 Mar 2026,190590,PARLE G BISCUIT 800G,1.000,PCS,85.00,85.00
19 Mar 2026,080810,APPLE WASHINGTON,1.500,KG,180.00,270.00
19 Mar 2026,200990,REAL MIXED FRUIT JUICE 1L,2.000,PCS,110.00,220.00
19 Mar 2026,071340,STAR MASOOR DAL 1KG,1.000,PCS,95.00,95.00
19 Mar 2026,120242,FABIA RAW PEANUTS 500G,2.000,PCS,75.00,150.00
19 Mar 2026,340220,VIM DISHWASH LIQUID 500ML,1.000,PCS,105.00,105.00
19 Mar 2026,330510,CLINIC PLUS SHAMPOO 340ML,1.000,PCS,160.00,160.00
19 Mar 2026,330720,FOGG BODY SPRAY 150ML,1.000,PCS,250.00,250.00
19 Mar 2026,210111,NESCAFE CLASSIC COFFEE 50G,1.000,PCS,170.00,170.00
19 Mar 2026,110290,STAR BESAN 500G,1.000,PCS,55.00,55.00
19 Mar 2026,081090,WATERMELON KIRAN,2.500,KG,25.00,62.50
19 Mar 2026,070700,CUCUMBER GREEN,1.000,KG,30.00,30.00
19 Mar 2026,040510,AMUL BUTTER 500G,1.000,PCS,265.00,265.00
21 Feb 2026,110100,TATA CHAKKI ATTA 10KG,1.000,PCS,410.00,410.00
21 Feb 2026,170114,STAR BAZAAR SUGAR,3.000,KG,42.00,126.00
21 Feb 2026,070310,ONION (KANDA),2.000,KG,30.00,60.00
21 Feb 2026,070190,POTATO (BATATA),2.000,KG,25.00,50.00
21 Feb 2026,151219,FABIA SUNFLOWER OIL 1L,3.000,PCS,115.00,345.00
21 Feb 2026,040299,AMUL TAAZA MILK 1L,2.000,PCS,68.00,136.00
21 Feb 2026,190230,YIPPEE NOODLES MAGIC 70G,6.000,PCS,14.00,84.00
21 Feb 2026,190531,BRITANNIA MARIE GOLD 250G,2.000,PCS,35.00,70.00
21 Feb 2026,091091,MDH CHUNKY CHAT MASALA 100G,1.000,PCS,65.00,65.00
21 Feb 2026,090411,EVEREST BLACK PEPPER 50G,1.000,PCS,95.00,95.00
21 Feb 2026,340111,DETTOL SOAP ORIGINAL 4X75G,1.000,PCS,140.00,140.00
21 Feb 2026,330610,PEPSODENT GERMICHECK 150G,1.000,PCS,98.00,98.00
21 Feb 2026,340220,EXO DISHWASH BAR 250G,2.000,PCS,25.00,50.00
21 Feb 2026,071331,STAR MOONG DAL 1KG,1.000,PCS,125.00,125.00
21 Feb 2026,071390,STAR CHANA DAL,0.500,KG,85.00,42.50
21 Feb 2026,080610,GRAPES GREEN SEEDLESS,0.600,KG,90.00,54.00
21 Feb 2026,070690,BEETROOT FRESH,0.500,KG,40.00,20.00
21 Feb 2026,040690,AMUL CHEESE CUBES 200G,1.000,PCS,130.00,130.00
21 Feb 2026,210390,CHINGS DARK SOY SAUCE 200G,1.000,PCS,55.00,55.00
21 Feb 2026,190532,CADBURY DAIRY MILK 50G,3.000,PCS,40.00,120.00
